Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00009405,Toothbrush 4000,2022-12-05 06:41:59.565142000,11,9,DA1%205XQ,HP6 6PF,1,Dispatched,2022-12-05 13:45:02.334334000,Delivered,2022-12-06 17:32:09.182080
BRU00009542,Toothbrush 4000,2022-12-05 12:31:07.821287200,24,2,E6%209PZ,CF38 1HF,1,Order Confirmed,2022-12-05 13:32:51.279192400,,
BRU00008941,Toothbrush 4000,2022-12-05 04:59:49.550659600,26,1,CT3%204EY,CV37 7EU,1,Order Confirmed,2022-12-05 06:11:16.772310400,,
BRU00009533,Toothbrush 2000,2022-12-04 12:46:49.459276400,71,9,IM9%206EN,HU17 0PN,1,Order Received,2022-12-04 12:59:35.170701200,,
BRU00009589,Toothbrush 4000,2022-12-04 23:55:21.967758400,8,8,CO6%201AW,DL8 5FB,1,Order Confirmed,2022-12-05 00:35:37.776839200,,
BRU00009174,Toothbrush 2000,2022-12-04 10:16:54.918720799,86,7,CB8%207TU,GL3 9HH,1,Dispatched,2022-12-04 16:47:44.887293198,Delivered,2022-12-05 22:32:50.467203198
BRU00008949,Toothbrush 2000,2022-12-04 08:40:46.535185600,69,8,DG1%201SG,HX1 3ZA,1,Dispatched,2022-12-04 15:11:42.859737999,Delivered,2022-12-06 01:17:41.387899599
BRU00009430,Toothbrush 4000,2022-12-05 08:32:16.511407600,21,8,CM3%201DD,AB24 4NF,1,Dispatched,2022-12-05 15:35:28.821550000,Delivered,2022-12-06 17:49:26.921245600
BRU00009505,Toothbrush 4000,2022-12-05 03:15:27.910979200,14,9,EH10%207AD,BN9 9TA,1,Dispatched,2022-12-05 10:33:03.760717600,Delivered,2022-12-06 21:00:12.771125200
BRU00009450,Toothbrush 2000,2022-12-05 07:37:28.923043200,80,2,BS30%207AB,BD16 2EG,1,Order Confirmed,2022-12-05 08:53:23.499838799,,
BRU00009525,Toothbrush 4000,2022-12-04 18:01:30.038564000,28,3,DT6%206LL,CT9 1DD,1,Order Received,2022-12-04 18:13:54.191673200,,
BRU00009281,Toothbrush 4000,2022-12-05 05:32:10.244599200,26,8,EH7%206AP,AB33 8BN,1,Dispatched,2022-12-05 13:38:59.292241200,Delivered,2022-12-06 17:09:43.618022400
BRU00009513,Toothbrush 4000,2022-12-04 14:16:47.293081200,38,5,BB7%204AY,DN14 0RX,1,Dispatched,2022-12-04 20:40:17.209083600,Delivered,2022-12-06 04:51:56.038239600
BRU00009237,Toothbrush 4000,2022-12-04 23:58:50.699989600,18,6,CF31%203SZ,CW7 1SX,1,Order Received,2022-12-05 00:11:11.022817600,,
BRU00009089,Toothbrush 4000,2022-12-05 15:10:35.201800800,23,7,EN1%201BA,AB22 8RZ,1,Order Confirmed,2022-12-05 16:04:46.509436800,,
BRU00009312,Toothbrush 2000,2022-12-05 09:24:27.253455600,69,9,CF14%202NZ,BH12 1NW,1,Order Confirmed,2022-12-05 10:40:59.951382000,,
BRU00009283,Toothbrush 2000,2022-12-04 10:52:58.020260000,57,5,AB21%209AD,E1 2DP,1,Dispatched,2022-12-04 17:41:26.003981600,Delivered,2022-12-05 21:38:17.586828800
BRU00008748,Toothbrush 4000,2022-12-05 11:49:40.788228800,27,4,DN5%208PH,DE13 8HU,1,Order Confirmed,2022-12-05 12:56:54.103517600,,
BRU00009501,Toothbrush 2000,2022-12-04 11:20:46.080683200,86,1,EC2M%204YE,EN11 1FB,1,Dispatched,2022-12-04 18:33:26.845812400,Delivered,2022-12-05 16:41:08.788024
BRU00009374,Toothbrush 2000,2022-12-04 19:21:46.947764000,60,3,B43%207JL,HA2 0QF,1,Order Received,2022-12-04 19:33:20.305917200,,
BRU00008903,Toothbrush 4000,2022-12-05 02:28:17.086268000,31,5,HG5%208JL,CM15 0PP,1,Order Received,2022-12-05 02:40:04.517447600,,
BRU00009144,Toothbrush 4000,2022-12-05 00:33:18.528624400,34,4,IM2%205HN,CH49 5ND,1,Order Confirmed,2022-12-05 01:16:12.727798000,,
BRU00009380,Toothbrush 2000,2022-12-04 21:29:27.541031200,69,8,DL2%202JX,DE13 9AR,1,Order Received,2022-12-04 21:41:44.463713200,,
BRU00009472,Toothbrush 2000,2022-12-04 20:14:08.648704000,83,7,CW9%208HB,CF5 4SL,1,Order Confirmed,2022-12-04 21:16:36.805397200,,
BRU00009502,Toothbrush 4000,2022-12-04 13:17:56.432920799,33,7,BS3%204EE,BL8 3HE,1,Dispatched,2022-12-04 19:46:26.403854399,Delivered,2022-12-05 23:42:34.757685599
BRU00009108,Toothbrush 2000,2022-12-05 08:24:29.071732800,93,1,CR0%208QL,IM9 5PN,1,Order Confirmed,2022-12-05 09:46:17.991290400,,
BRU00009541,Toothbrush 4000,2022-12-05 11:21:05.533341200,29,5,BN6%208DH,BA13 3QJ,1,Dispatched,2022-12-05 18:37:59.617294399,Delivered,2022-12-06 23:15:43.667068399
BRU00009254,Toothbrush 4000,2022-12-04 14:01:58.287110000,16,6,CR3%200AZ,CV11 6TR,1,Order Received,2022-12-04 14:14:55.956554000,,
BRU00009630,Toothbrush 4000,2022-12-05 16:26:00.098607600,26,3,CW3%200DE,CB3 0LD,1,Order Confirmed,2022-12-05 17:41:53.274337200,,
BRU00008756,Toothbrush 2000,2022-12-05 09:42:17.667046800,84,9,DE6%201PF,BA15 1TY,1,Order Received,2022-12-05 09:55:41.979568800,,
BRU00009100,Toothbrush 4000,2022-12-04 23:45:23.974492800,23,2,EX31%202NH,HD3 4AZ,1,Order Received,2022-12-04 23:56:46.075377600,,
BRU00009139,Toothbrush 2000,2022-12-04 16:42:09.290534400,69,3,CT5%203HQ,BS10 7HE,1,Order Received,2022-12-04 16:53:24.274417200,,
BRU00009662,Toothbrush 4000,2022-12-05 12:51:36.418920000,20,4,BB11%203LZ,BH15 4HP,1,Dispatched,2022-12-05 19:40:41.186116800,Delivered,2022-12-06 23:52:49.530844800
BRU00008911,Toothbrush 4000,2022-12-04 23:27:08.113751600,27,1,EH13%209NB,BB8 8TB,1,Order Received,2022-12-04 23:38:01.518791600,,
BRU00009177,Toothbrush 2000,2022-12-05 05:55:39.475465200,94,9,BL1%206EA,CO15 4QE,1,Dispatched,2022-12-05 13:28:52.261077600,Delivered,2022-12-06 13:52:33.056089200
BRU00009569,Toothbrush 2000,2022-12-04 11:41:00.348804800,64,3,CF10%205GL,CF32 9SR,1,Order Confirmed,2022-12-04 12:56:16.262856800,,
BRU00009563,Toothbrush 2000,2022-12-05 01:50:46.169570800,71,7,HA5%202TR,BL1 6LH,1,Order Received,2022-12-05 02:03:59.681858800,,
BRU00009145,Toothbrush 2000,2022-12-05 11:37:24.685596800,50,7,IM4%204EU,BS10 6QP,1,Order Received,2022-12-05 11:50:08.626030400,,
BRU00009180,Toothbrush 4000,2022-12-05 02:14:44.564498000,31,6,BN2%200EX,DE55 5TD,1,Dispatched,2022-12-05 08:50:49.601693600,Delivered,2022-12-06 17:57:06.203378
BRU00009193,Toothbrush 2000,2022-12-05 08:21:54.597742000,69,5,CM5%209EY,B60 2HD,1,Order Received,2022-12-05 08:34:42.617821600,,
BRU00009273,Toothbrush 2000,2022-12-04 15:43:10.613312400,69,8,B20%203HG,CA11 8EY,1,Order Confirmed,2022-12-04 16:57:21.431923200,,
BRU00009023,Toothbrush 2000,2022-12-05 05:56:40.213181200,63,3,B92%207EG,HA0 1UJ,1,Order Confirmed,2022-12-05 06:51:45.789820000,,
BRU00009248,Toothbrush 2000,2022-12-04 22:43:34.542898000,50,8,CV10%208LG,BB11 4LA,1,Dispatched,2022-12-05 04:54:35.620193200,In Transit,2022-12-05 06:01:38.279557600
BRU00009427,Toothbrush 2000,2022-12-04 23:15:13.583257600,94,2,HU6%208QA,CF44 0RQ,1,Order Confirmed,2022-12-05 00:34:24.623472400,,
BRU00008889,Toothbrush 4000,2022-12-04 22:04:36.963976400,25,3,EH47%200HX,GY2 4XT,1,Order Received,2022-12-04 22:17:32.260037600,,
BRU00009085,Toothbrush 4000,2022-12-04 18:40:41.416525600,13,9,CR8%205DS,CF45 3EN,1,Order Received,2022-12-04 18:51:52.886930800,,
BRU00008894,Toothbrush 2000,2022-12-05 01:48:13.493179200,88,4,EH52%206FR,G75 9AT,1,Order Received,2022-12-05 02:01:11.712418800,,
BRU00009001,Toothbrush 4000,2022-12-05 03:03:33.145116800,27,7,G82%204LH,B15 3LH,1,Order Confirmed,2022-12-05 04:10:48.975574400,,
BRU00009039,Toothbrush 2000,2022-12-05 01:15:19.982957599,56,4,EH6%208RD,CV2 1EX,1,Order Confirmed,2022-12-05 02:00:56.995050799,,
BRU00009305,Toothbrush 4000,2022-12-05 00:34:20.813493600,16,9,CF47%200LW,DN6 7BP,1,Order Received,2022-12-05 00:46:21.939847200,,
BRU00008987,Toothbrush 2000,2022-12-05 11:07:22.489713200,78,4,CV34%205SS,BD7 1PP,1,Order Confirmed,2022-12-05 12:10:01.957836800,,
BRU00009579,Toothbrush 2000,2022-12-05 05:31:31.067864800,64,3,E16%203TQ,CM13 2NN,1,Dispatched,2022-12-05 12:36:39.298968400,Delivered,2022-12-06 18:44:05.983566400
BRU00009353,Toothbrush 2000,2022-12-04 12:11:31.317281600,70,6,B77%205NW,HR2 7EG,1,Order Confirmed,2022-12-04 13:08:18.475314800,,
BRU00008750,Toothbrush 2000,2022-12-05 01:03:06.932656800,52,5,DY9%200BN,B15 1NR,1,Order Received,2022-12-05 01:15:52.962836400,,
BRU00008955,Toothbrush 2000,2022-12-04 19:58:20.619092800,63,8,bh107dq,cb98ej,1,Order Received,2022-12-04 20:10:25.584709600,,
BRU00008859,Toothbrush 4000,2022-12-04 23:21:14.996026400,28,5,bd214tu,cr42ex,1,Order Received,2022-12-04 23:32:30.586340000,,
BRU00009048,Toothbrush 4000,2022-12-05 18:36:54.045414800,27,1,cw82ry,e162le,1,Order Confirmed,2022-12-05 19:45:34.343882000,,
BRU00009365,Toothbrush 4000,2022-12-05 14:13:18.492682000,24,6,da11sg,ch438ts,1,Order Received,2022-12-05 14:24:44.476469200,,
BRU00009134,Toothbrush 4000,2022-12-04 23:21:55.725887200,35,5,fk103be,ex135fu,1,Order Confirmed,2022-12-05 00:19:55.031322400,,
BRU00008906,Toothbrush 2000,2022-12-05 00:23:04.577761600,88,8,bn29nw,dg109bu,1,Order Confirmed,2022-12-05 01:46:53.194367200,,
BRU00009564,Toothbrush 4000,2022-12-04 17:15:02.611036400,21,2,hr12pg,ha98nz,1,Order Received,2022-12-04 17:27:22.156865600,,
BRU00009595,Toothbrush 2000,2022-12-04 16:55:59.589643600,63,2,hd50hs,hd50hs,1,Dispatched,2022-12-04 23:59:48.852846400,Delivered,2022-12-06 05:39:52.100414800
BRU00008698,Toothbrush 2000,2022-12-05 08:28:04.455653600,67,1,cm210da,cm210da,1,Order Confirmed,2022-12-05 09:46:47.249069600,,
BRU00008879,Toothbrush 4000,2022-12-05 04:11:35.670726000,24,1,cv108nf,cv108nf,1,Order Confirmed,2022-12-05 05:15:00.194707200,,
BRU00009423,Toothbrush 4000,2022-12-04 14:07:32.454301600,24,7,ip139eg,ip139eg,1,Dispatched,2022-12-04 21:58:44.413444000,Delivered,2022-12-05 23:24:28.914305200
BRU00009521,Toothbrush 4000,2022-12-05 02:39:54.598621600,13,8,eh92js,eh92js,1,Dispatched,2022-12-05 09:09:39.933002800,Delivered,2022-12-06 12:36:06.302105200
BRU00008769,Toothbrush 4000,2022-12-05 06:18:50.301254000,18,4,ip186tn,ip186tn,1,Order Confirmed,2022-12-05 07:12:53.591132000,,
BRU00008981,Toothbrush 2000,2022-12-04 15:53:10.354772000,86,7,ab437aj,ab437aj,1,Order Received,2022-12-04 16:04:27.371636000,,
BRU00009282,Toothbrush 4000,2022-12-05 00:52:37.063452000,21,8,bl70ah,bl70ah,1,Dispatched,2022-12-05 08:30:06.008792400,Delivered,2022-12-06 02:22:59.322626400
BRU00009421,Toothbrush 4000,2022-12-05 13:28:38.998020000,16,1,cb225eb,cb225eb,1,Order Received,2022-12-05 13:38:46.424518800,,
BRU00009182,Toothbrush 2000,2022-12-05 03:19:39.848728400,66,1,cv77bu,cv77bu,1,Order Received,2022-12-05 03:31:26.705085200,,
BRU00009646,Toothbrush 2000,2022-12-04 19:46:35.268606000,76,4,bn19rs,bn19rs,1,Dispatched,2022-12-05 02:50:44.625039600,In Transit,2022-12-05 03:59:57.529617600
BRU00009233,Toothbrush 2000,2022-12-04 15:48:49.541936800,67,3,cv470jd,cv470jd,1,Order Received,2022-12-04 16:01:09.050455600,,
BRU00008726,Toothbrush 4000,2022-12-05 04:32:46.113582000,34,2,cv81jp,cv81jp,1,Order Confirmed,2022-12-05 05:47:32.175818400,,
BRU00009153,Toothbrush 4000,2022-12-04 21:47:10.979324800,16,5,dt117pt,dt117pt,1,Order Received,2022-12-04 21:59:00.398593600,,
BRU00008866,Toothbrush 2000,2022-12-05 14:09:51.847067200,69,6,b462qx,b462qx,1,Order Received,2022-12-05 14:21:33.114013600,,
BRU00009109,Toothbrush 2000,2022-12-04 18:21:56.602502400,86,9,dh99bl,dh99bl,1,Dispatched,2022-12-05 01:36:38.448904800,In Transit,2022-12-05 02:25:55.595295600
BRU00009309,Toothbrush 4000,2022-12-05 03:00:19.862692800,17,9,e97fh,e97fh,1,Order Confirmed,2022-12-05 04:30:59.355189600,,
BRU00009460,Toothbrush 4000,2022-12-05 04:18:56.690231600,47,7,fk101en,fk101en,1,Dispatched,2022-12-05 11:05:55.505283200,Delivered,2022-12-06 10:36:40.038049999
BRU00009581,Toothbrush 4000,2022-12-05 22:12:34.247174000,19,5,br87ny,br87ny,1,Order Received,2022-12-05 22:23:40.711260800,,
BRU00008925,Toothbrush 2000,2022-12-05 02:25:47.385193600,59,3,bn149ad,bn149ad,1,Order Received,2022-12-05 02:38:20.398734400,,
BRU00009571,Toothbrush 4000,2022-12-05 02:03:42.697589600,29,1,ch13jt,ch13jt,1,Dispatched,2022-12-05 08:56:34.664696000,Delivered,2022-12-06 02:15:32.757327200
BRU00009064,Toothbrush 4000,2022-12-05 05:56:59.789952000,16,1,bn126ph,bn126ph,1,Order Confirmed,2022-12-05 07:00:50.578435200,,
BRU00008706,Toothbrush 2000,2022-12-05 10:27:19.172886800,70,8,eh106rb,eh106rb,1,Dispatched,2022-12-05 18:09:11.870920400,Delivered,2022-12-07 06:50:25.506099200
BRU00009159,Toothbrush 4000,2022-12-05 02:27:25.511071200,24,4,g744gt,g744gt,1,Dispatched,2022-12-05 09:18:18.923553600,Delivered,2022-12-06 09:30:21.808402800
BRU00009256,Toothbrush 2000,2022-12-04 19:52:24.835350000,72,9,hr47dt,hr47dt,1,Order Received,2022-12-04 20:04:06.368246400,,
BRU00008834,Toothbrush 4000,2022-12-05 16:34:20.809452800,23,3,dl79aw,dl79aw,1,Order Confirmed,2022-12-05 17:45:35.668919600,,
BRU00009011,Toothbrush 2000,2022-12-04 15:12:01.760219600,75,7,dl54he,dl54he,1,Order Received,2022-12-04 15:23:55.531485200,,
BRU00009028,Toothbrush 4000,2022-12-05 14:59:04.912357199,31,8,b609tr,b609tr,1,Order Confirmed,2022-12-05 16:12:10.219514399,,
BRU00008913,Toothbrush 2000,2022-12-05 09:45:15.772146400,80,9,gl179be,gl179be,1,Order Confirmed,2022-12-05 10:54:07.527919600,,
BRU00009413,Toothbrush 4000,2022-12-05 08:25:31.211310000,21,5,cv21js,cv21js,1,Order Received,2022-12-05 08:37:27.023617200,,
BRU00009547,Toothbrush 2000,2022-12-04 15:21:15.697333600,86,3,cf482ht,cf482ht,1,Dispatched,2022-12-04 22:30:49.068055600,Delivered,2022-12-06 05:00:02.421660400
BRU00009538,Toothbrush 2000,2022-12-05 10:30:05.026000400,76,3,ct201qf,ct201qf,1,Dispatched,2022-12-05 18:19:28.427772800,Delivered,2022-12-06 22:27:34.275467599
BRU00009020,Toothbrush 4000,2022-12-05 10:21:08.466277200,30,2,gl206dz,gl206dz,1,Dispatched,2022-12-05 16:59:57.270270000,Delivered,2022-12-06 20:35:11.073489600
BRU00009358,Toothbrush 4000,2022-12-05 02:57:22.713720000,20,6,dl129ju,dl129ju,1,Order Confirmed,2022-12-05 03:57:17.652328800,,
BRU00009435,Toothbrush 4000,2022-12-05 22:33:31.185875200,28,1,cw122gr,cw122gr,1,Order Confirmed,2022-12-05 23:30:20.038205200,,
BRU00009457,Toothbrush 4000,2022-12-05 10:42:57.661766400,20,9,dd82ql,dd82ql,1,Dispatched,2022-12-05 17:51:31.958705999,Delivered,2022-12-06 22:00:34.234964399
BRU00009152,Toothbrush 2000,2022-12-05 12:07:58.672760000,68,3,g14hw,g14hw,1,Order Confirmed,2022-12-05 13:12:18.381004400,,
BRU00009320,Toothbrush 4000,2022-12-06 05:40:47.531518800,27,3,ha37bs,ha37bs,1,Order Confirmed,2022-12-06 06:51:40.291518000,,
BRU00009499,Toothbrush 2000,2022-12-04 20:56:57.864772800,68,5,ex137ha,ex137ha,1,Dispatched,2022-12-05 04:15:56.921196000,In Transit,2022-12-05 05:20:54.076532400
BRU00009454,Toothbrush 2000,2022-12-05 02:53:50.515384800,95,4,eh178hj,eh178hj,1,Dispatched,2022-12-05 09:27:21.194023200,Delivered,2022-12-06 11:36:09.701901599
BRU00008881,Toothbrush 2000,2022-12-04 20:50:18.770687200,72,7,cm194hz,cm194hz,1,Order Confirmed,2022-12-04 22:08:03.759576400,,
BRU00009539,Toothbrush 2000,2022-12-04 23:06:15.109277600,56,8,cw55hw,cw55hw,1,Order Confirmed,2022-12-05 00:29:11.083259600,,
BRU00009154,Toothbrush 2000,2022-12-05 05:32:54.490788000,79,4,fk38da,fk38da,1,Order Confirmed,2022-12-05 06:35:03.917905200,,
BRU00008702,Toothbrush 4000,2022-12-05 11:57:03.893311599,27,8,cm63sz,cm63sz,1,Order Confirmed,2022-12-05 13:12:05.944116399,,
BRU00009366,Toothbrush 2000,2022-12-05 10:32:34.554540000,69,3,en119ad,en119ad,1,Order Confirmed,2022-12-05 11:53:11.915335200,,
BRU00008745,Toothbrush 2000,2022-12-04 23:55:22.899016000,80,4,ip288wj,ip288wj,1,Dispatched,2022-12-05 07:23:15.196622800,Delivered,2022-12-06 08:46:28.642355200
BRU00009055,Toothbrush 4000,2022-12-05 11:17:22.455148000,35,3,dl167xx,dl167xx,1,Order Confirmed,2022-12-05 12:30:07.602485200,,
BRU00009186,Toothbrush 4000,2022-12-04 21:28:42.546667200,23,7,eh130fa,eh130fa,1,Order Confirmed,2022-12-04 22:39:53.332082400,,
BRU00009325,Toothbrush 4000,2022-12-05 23:53:56.946199200,29,3,dt118tx,dt118tx,1,Order Confirmed,2022-12-06 00:55:53.240293200,,
BRU00009307,Toothbrush 4000,2022-12-05 04:28:20.297985600,17,7,dn197ln,dn197ln,1,Order Confirmed,2022-12-05 05:22:35.638410000,,
BRU00009318,Toothbrush 4000,2022-12-05 21:13:14.343864400,33,6,dy81ll,dy81ll,1,Order Received,2022-12-05 21:25:17.941758400,,
BRU00009008,Toothbrush 2000,2022-12-05 04:57:30.462571200,92,5,cb62jw,cb62jw,1,Dispatched,2022-12-05 11:15:35.444438400,Delivered,2022-12-06 10:15:00.011794800
BRU00009185,Toothbrush 4000,2022-12-05 17:24:52.378752400,25,6,gl509al,gl509al,1,Order Confirmed,2022-12-05 18:28:00.515926000,,
BRU00009024,Toothbrush 2000,2022-12-05 14:06:18.653393600,85,2,bd195hs,bd195hs,1,Order Received,2022-12-05 14:18:40.404824000,,
BRU00009329,Toothbrush 4000,2022-12-04 16:43:32.989594400,18,6,ca64qf,ca64qf,1,Order Received,2022-12-04 16:56:37.131467600,,
BRU00009613,Toothbrush 2000,2022-12-04 12:03:14.813036400,78,6,cb97jp,cb97jp,1,Order Confirmed,2022-12-04 12:54:34.187494800,,
BRU00008838,Toothbrush 2000,2022-12-05 01:37:13.444202400,74,4,g11ld,g11ld,1,Order Confirmed,2022-12-05 02:48:41.496952800,,
BRU00009363,Toothbrush 2000,2022-12-04 14:11:04.874081200,89,4,b945ru,b945ru,1,Order Confirmed,2022-12-04 15:16:29.095913200,,
BRU00008939,Toothbrush 4000,2022-12-04 22:42:09.037920400,32,4,eh41jt,eh41jt,1,Order Confirmed,2022-12-04 23:43:55.755226000,,
BRU00008971,Toothbrush 4000,2022-12-05 20:25:54.897451600,12,7,bs169hw,bs169hw,1,Order Received,2022-12-05 20:37:46.142143600,,
BRU00009123,Toothbrush 4000,2022-12-05 08:51:07.487425600,32,3,da99te,da99te,1,Order Confirmed,2022-12-05 09:40:38.934510400,,
BRU00009257,Toothbrush 2000,2022-12-04 14:02:06.275066400,75,8,hx28jy,hx28jy,1,Dispatched,2022-12-04 21:03:00.096736800,Delivered,2022-12-06 07:04:46.961361600
BRU00009014,Toothbrush 4000,2022-12-05 13:17:07.543327600,17,7,bh118nw,bh118nw,1,Dispatched,2022-12-05 20:17:16.027490800,Delivered,2022-12-06 22:21:10.947679600
BRU00009311,Toothbrush 2000,2022-12-05 12:07:37.482422000,92,5,cw28ue,cw28ue,1,Dispatched,2022-12-05 19:37:36.995990000,Delivered,2022-12-06 19:25:52.880550800
BRU00009426,Toothbrush 2000,2022-12-04 11:43:35.392170800,75,6,ch12lz,ch12lz,1,Order Confirmed,2022-12-04 12:29:36.625924400,,
BRU00009479,Toothbrush 2000,2022-12-05 11:02:54.946062800,82,4,g783bz,g783bz,1,Order Confirmed,2022-12-05 11:45:51.128285600,,
BRU00008856,Toothbrush 4000,2022-12-05 12:45:07.480472000,6,7,cv108ay,cv108ay,1,Dispatched,2022-12-05 20:15:43.388956400,Delivered,2022-12-07 02:29:14.963268800
BRU00009504,Toothbrush 4000,2022-12-04 17:02:01.749467600,32,8,dd53qh,dd53qh,1,Dispatched,2022-12-05 00:52:26.050920800,In Transit,2022-12-05 02:09:36.008343200
BRU00008739,Toothbrush 4000,2022-12-05 15:47:10.286182000,36,2,ip141sb,ip141sb,1,Order Received,2022-12-05 15:58:08.749722400,,
BRU00009286,Toothbrush 4000,2022-12-05 13:11:39.394316000,40,6,ab165py,ab165py,1,Dispatched,2022-12-05 19:58:47.878755200,Delivered,2022-12-07 01:04:02.245342400
BRU00009540,Toothbrush 4000,2022-12-05 16:11:32.784273600,22,7,bh220lj,bh220lj,1,Order Confirmed,2022-12-05 16:59:29.627955600,,
BRU00009583,Toothbrush 4000,2022-12-05 18:08:44.246866000,37,7,bh106jy,bh106jy,1,Dispatched,2022-12-06 01:05:51.674461600,In Transit,2022-12-06 01:53:37.540829200
BRU00009395,Toothbrush 4000,2022-12-05 01:27:16.182741200,37,2,ba112hg,ba112hg,1,Dispatched,2022-12-05 08:07:57.364762400,Delivered,2022-12-06 17:32:31.678256
BRU00008777,Toothbrush 2000,2022-12-04 15:09:05.378342000,73,9,al14xu,al14xu,1,Order Confirmed,2022-12-04 16:22:59.540793200,,
BRU00008944,Toothbrush 2000,2022-12-04 20:54:37.368244000,88,7,dg27py,dg27py,1,Order Received,2022-12-04 21:06:21.382426000,,
BRU00009215,Toothbrush 2000,2022-12-05 01:24:15.950591999,63,1,ab518ts,ab518ts,1,Dispatched,2022-12-05 08:10:15.527999999,Delivered,2022-12-06 14:57:05.571147599
BRU00009397,Toothbrush 2000,2022-12-05 07:20:48.907060400,78,5,hg32lp,hg32lp,1,Dispatched,2022-12-05 13:30:17.913822800,Delivered,2022-12-06 17:34:37.405646
BRU00008687,Toothbrush 4000,2022-12-05 06:29:48.067474000,21,9,ct119tq,ct119tq,1,Order Received,2022-12-05 06:41:23.156784400,,
BRU00009436,Toothbrush 2000,2022-12-04 17:54:15.294827600,58,2,bd207jf,bd207jf,1,Dispatched,2022-12-05 01:57:31.052834000,In Transit,2022-12-05 02:59:46.398326
BRU00008775,Toothbrush 4000,2022-12-05 17:26:09.471278400,37,1,dy13jt,dy13jt,1,Order Received,2022-12-05 17:37:46.601194800,,
BRU00009173,Toothbrush 4000,2022-12-05 16:39:10.126190000,18,1,bn237bd,bn237bd,1,Order Confirmed,2022-12-05 17:21:22.550380400,,
BRU00009052,Toothbrush 2000,2022-12-05 05:27:59.564673600,77,9,de557jr,de557jr,1,Dispatched,2022-12-05 11:33:26.355483600,Delivered,2022-12-06 11:17:23.143101600
BRU00008703,Toothbrush 2000,2022-12-04 16:03:16.850383200,74,1,eh22bw,eh22bw,1,Dispatched,2022-12-04 23:13:46.967869200,Delivered,2022-12-05 23:49:32.294449200
BRU00009634,Toothbrush 2000,2022-12-05 00:00:55.776667600,78,4,eh47hs,eh47hs,1,Dispatched,2022-12-05 07:22:22.382482000,Delivered,2022-12-06 07:55:04.536173200
BRU00009270,Toothbrush 2000,2022-12-05 03:18:23.593490000,89,6,ex202tu,ex202tu,1,Order Confirmed,2022-12-05 04:34:55.527158000,,
BRU00008989,Toothbrush 2000,2022-12-04 09:12:20.147910000,66,6,g331qa,g331qa,1,Order Received,2022-12-04 09:24:13.617070800,,
BRU00008995,Toothbrush 4000,2022-12-04 23:41:11.155051200,24,1,ab422gp,ab422gp,1,Order Received,2022-12-04 23:52:39.519507600,,
BRU00008876,Toothbrush 2000,2022-12-05 11:02:04.024861200,76,2,dy68pg,dy68pg,1,Order Confirmed,2022-12-05 12:23:38.706800400,,
BRU00009451,Toothbrush 4000,2022-12-04 15:10:50.712442400,22,2,e163rh,e163rh,1,Order Received,2022-12-04 15:22:26.809036400,,
BRU00009651,Toothbrush 4000,2022-12-05 05:26:05.916436000,23,4,da75rd,da75rd,1,Order Confirmed,2022-12-05 06:33:21.603581200,,
BRU00009136,Toothbrush 2000,2022-12-04 23:52:18.749454400,83,2,ab166lu,ab166lu,1,Dispatched,2022-12-05 06:20:49.737060400,Delivered,2022-12-06 16:06:45.779336800
BRU00009373,Toothbrush 4000,2022-12-05 02:27:53.194527200,26,5,eh446ld,eh446ld,1,Dispatched,2022-12-05 09:11:40.136109200,Delivered,2022-12-06 14:31:03.930234800
BRU00009220,Toothbrush 2000,2022-12-04 23:58:50.430481200,68,6,b779qw,b779qw,1,Order Received,2022-12-05 00:10:26.028932400,,
BRU00008916,Toothbrush 2000,2022-12-04 14:40:16.915872400,78,9,hd59rg,hd59rg,1,Order Confirmed,2022-12-04 15:34:00.352538800,,
BRU00009473,Toothbrush 4000,2022-12-04 21:52:09.791406800,18,1,bs395an,bs395an,1,Order Confirmed,2022-12-04 22:43:46.137773600,,
BRU00008815,Toothbrush 2000,2022-12-05 04:36:55.651012000,55,4,bd212ag,bd212ag,1,Order Confirmed,2022-12-05 05:33:47.070282400,,
BRU00009234,Toothbrush 4000,2022-12-04 19:18:07.755900800,22,6,e175bt,e175bt,1,Order Received,2022-12-04 19:29:47.171280800,,
BRU00009653,Toothbrush 4000,2022-12-05 01:40:33.618133200,33,1,cm94na,cm94na,1,Dispatched,2022-12-05 09:10:53.444553600,Delivered,2022-12-06 11:10:26.120452800
BRU00009313,Toothbrush 2000,2022-12-05 09:02:52.828300000,56,4,dn402bj,dn402bj,1,Order Received,2022-12-05 09:15:45.730843600,,
BRU00009066,Toothbrush 2000,2022-12-04 12:52:48.451085600,74,6,bb96js,bb96js,1,Dispatched,2022-12-04 20:46:29.998536800,Delivered,2022-12-06 01:09:09.605025200
BRU00009348,Toothbrush 2000,2022-12-05 09:56:38.551029200,82,2,bh119uf,bh119uf,1,Order Confirmed,2022-12-05 10:58:55.025693600,,
BRU00009086,Toothbrush 4000,2022-12-04 21:26:17.770922000,41,9,gl116jb,gl116jb,1,Order Received,2022-12-04 21:38:33.491218400,,
BRU00009476,Toothbrush 4000,2022-12-05 15:27:08.978074800,9,4,fy55bb,fy55bb,1,Order Received,2022-12-05 15:38:25.130038800,,
